,vocab,counts
3847,port,3
3848,prayer,3
3849,predator,3
3850,predatory,3
3851,predict,3
3852,pregnancy,3
3853,preparation,3
3854,prevents,3
3855,prey,3
3856,prime,3
3857,principal,3
3858,prior,3
3859,privately,3
3860,productivity,3
3861,proisrael,3
3862,prominent,3
3863,prosperous,3
3864,protects,3
3865,protest,3
3866,publisher,3
3867,punitive,3
3868,purdue,3
3869,quickest,3
3870,quiet,3
3871,radio,3
3872,random,3
3873,rap,3
3874,rape,3
3875,rat,3
3876,react,3
3877,reaction,3
3878,readiness,3
3879,receipt,3
3880,recession,3
3881,recipient,3
3882,recover,3
3883,recruit,3
3884,redeem,3
3885,redemption,3
3886,reduction,3
3887,reed,3
3888,reestablish,3
3889,refinance,3
3890,refrain,3
3891,regenerative,3
3892,regret,3
3893,regulate,3
3894,relates,3
3895,relative,3
3896,remains,3
3897,reminds,3
3898,renewables,3
3899,reno,3
3900,reporter,3
3901,resort,3
3902,revitalize,3
3903,revolutionary,3
3904,richard,3
3905,rightwing,3
3906,ripped,3
3907,rival,3
3908,rudy,3
3909,rugged,3
3910,sadly,3
3911,safely,3
3912,scapegoated,3
3913,sean,3
3914,search,3
3915,selfdescribed,3
3916,selfserving,3
3917,semester,3
3918,sends,3
3919,severely,3
3920,sexism,3
3921,sexist,3
3922,shake,3
3923,shareholder,3
3924,sheet,3
3925,sherrod,3
3926,shorter,3
3927,shortterm,3
3928,sideline,3
3929,sight,3
3930,silence,3
3931,silent,3
3932,sits,3
3933,slogan,3
3934,smear,3
3935,smile,3
3936,smoking,3
3937,soccer,3
3938,somewhat,3
3939,soy,3
3940,space,3
3941,specialist,3
3942,spectacle,3
3943,spends,3
3944,spin,3
3945,spinelessness,3
3946,split,3
3947,sponsor,3
3948,sport,3
3949,spring,3
3950,stacey,3
3951,stance,3
3952,star,3
3953,stayed,3
3954,steve,3
3955,stimulate,3
3956,straightforward,3
3957,stranger,3
3958,strip,3
3959,supervision,3
3960,suppress,3
3961,surely,3
3962,surprising,3
3963,surrender,3
3964,suspect,3
3965,suspend,3
3966,swing,3
3967,tall,3
3968,tapped,3
3969,task,3
3970,teamwork,3
3971,tender,3
3972,tent,3
3973,tenure,3
3974,terminal,3
3975,territory,3
3976,thankfully,3
3977,theme,3
3978,therefore,3
3979,threatens,3
3980,throat,3
3981,timing,3
3982,tip,3
3983,tobacco,3
3984,tolerance,3
3985,toss,3
3986,tower,3
3987,tragic,3
3988,tragically,3
3989,treasury,3
3990,tree,3
3991,triangle,3
3992,trigger,3
3993,trip,3
3994,trucker,3
3995,twothirds,3
3996,twoyear,3
3997,tyrant,3
3998,ubi,3
3999,ugly,3
4000,unacceptable,3
4001,unbelievable,3
4002,unclear,3
4003,undertake,3
4004,underwater,3
4005,underway,3
4006,unemployed,3
4007,unenumerated,3
4008,unilaterally,3
4009,uninhabitable,3
4010,unleash,3
4011,unlimited,3
4012,unnecessary,3
4013,upgrade,3
4014,urgent,3
4015,utility,3
4016,vacancy,3
4017,valuable,3
4018,van,3
4019,variety,3
4020,vegan,3
4021,vibrant,3
4022,virginia,3
4023,vital,3
4024,wag,3
4025,waitress,3
4026,walmart,3
4027,wash,3
4028,watermark,3
4029,weaken,3
4030,weakness,3
4031,weight,3
4032,welch,3
4033,wider,3
4034,williams,3
4035,wishlist,3
4036,wmur,3
4037,workable,3
4038,worldclass,3
4039,yada,3
4040,yellow,3
4041,youngstown,3
4042,zealand,3
4043,zelensky,3
4044,zip,3
4045,abhorrent,4
4046,accelerate,4
4047,achievement,4
4048,aclu,4
4049,actor,4
4050,adapt,4
4051,addict,4
4052,administrative,4
4053,admire,4
4054,adopt,4
4055,advance,4
4056,advice,4
4057,affection,4
4058,affordability,4
4059,aloha,4
4060,amaze,4
4061,anchor,4
4062,angeles,4
4063,anticorruption,4
4064,anxiety,4
4065,apprehend,4
4066,arrive,4
4067,assist,4
4068,assume,4
4069,audio,4
4070,backwards,4
4071,bader,4
4072,ball,4
